index,review_count,positive_count,positive_sum,negative_count,negative_sum
7163,0,0,0.0,0,0.0
7164,26,25,8.911985102101204,0,0.0
7165,1,1,0.73125,0,0.0
7166,203,196,95.52361405211845,0,0.0
7167,5,5,2.4495105820105816,0,0.0
7168,88,73,27.933738656537184,6,-1.3590743570155335
7169,33,25,10.484539953102455,1,-0.01490196078431371
7170,0,0,0.0,0,0.0
7171,58,55,22.206675856471826,1,-0.375
7172,1,1,0.3473809523809524,0,0.0
7173,0,0,0.0,0,0.0
7174,0,0,0.0,0,0.0
7175,24,18,6.810290903540903,0,0.0
7176,0,0,0.0,0,0.0
7177,64,54,22.460055775806826,1,-0.1416666666666666
7178,295,269,119.00486102345377,2,-0.029474431818181823
7179,228,194,83.57870168107713,3,-0.39353354978354976
7180,0,0,0.0,0,0.0
7181,1,1,0.2677777777777778,0,0.0
7182,9,8,3.4519558080808084,1,-0.022222222222222237
7183,156,138,60.567947328779326,1,-0.02857142857142858
7184,9,8,3.1939980158730163,0,0.0
7185,11,11,5.432409916472416,0,0.0
7186,9,8,4.612606837606838,0,0.0
7187,0,0,0.0,0,0.0
7188,2,2,0.513427718115218,0,0.0
7189,2,2,1.190515873015873,0,0.0
7190,0,0,0.0,0,0.0
7191,0,0,0.0,0,0.0
7192,1,1,0.85,0,0.0
7193,1,1,0.7391666666666667,0,0.0
7194,29,28,12.184940567919735,1,-0.023333333333333317
7195,0,0,0.0,0,0.0
7196,24,22,6.790077861952862,1,-0.004444444444444445
7197,0,0,0.0,0,0.0
7198,0,0,0.0,0,0.0
7199,60,57,24.23855442176871,0,0.0
7200,0,0,0.0,0,0.0
7201,3,3,1.0591859066859068,0,0.0
7202,5,5,1.4854514912823185,0,0.0
7203,63,52,24.019071112914865,0,0.0
7204,0,0,0.0,0,0.0
7205,10,9,3.777008987389423,0,0.0
7206,32,26,11.370222550597553,1,-0.0015625000000000083
7207,0,0,0.0,0,0.0
7208,0,0,0.0,0,0.0
7209,1,0,0.0,0,0.0
7210,0,0,0.0,0,0.0
7211,221,206,97.81060609332869,2,-0.08749999999999994
7212,0,0,0.0,0,0.0
7213,3,3,1.815,0,0.0
7214,5,5,2.2251917526917526,0,0.0
7215,135,116,57.251781099520436,1,-0.07142857142857144
7216,30,28,11.803087341670675,0,0.0
7217,4,4,2.118291666666667,0,0.0
7218,53,50,23.0174410107376,1,-0.1875
7219,38,30,11.523630641500207,0,0.0
7220,0,0,0.0,0,0.0
7221,0,0,0.0,0,0.0
7222,7,7,3.903674242424242,0,0.0
7223,0,0,0.0,0,0.0
7224,1,1,0.10671052631578946,0,0.0
7225,6,6,2.7160606060606067,0,0.0
7226,116,104,47.54636986028195,0,0.0
7227,0,0,0.0,0,0.0
7228,0,0,0.0,0,0.0
7229,57,55,22.28068039947086,0,0.0
7230,0,0,0.0,0,0.0
7231,25,18,8.403418689445475,0,0.0
7232,8,5,2.951666666666666,2,-0.479
7233,3,2,0.32103535353535356,0,0.0
7234,6,6,3.952442002442003,0,0.0
